lang,key,labse_score,cometkiwi_score,avg_score,fr,translation
ur,settings:settings.modeSections.corsi.base.subtitle,0.223,0.347,0.285,Empan et direction,مدت وسمت
ur,settings:settings.modeSections.digitSpan.base.subtitle,0.244,0.326,0.28500000000000003,Empan et essais,مدت وٹرائلز
ar,game:game.contourIntegration.thresholdJitter,0.246,0.325,0.2855,Jitter au seuil,ارتعاش العتبة
vi,settings:settings.trace.mindfulPositionTolerance,0.216,0.359,0.2875,Tolérance geste,Dung sai cử chỉ
th,game:game.cogTask.vocalProsody.heroTitle,0.158,0.419,0.2885,Prosodie vocale,ฉันทลักษณ์แกนนำ
ms,game:game.cogTask.timeEstimation.avgAbsoluteError,0.236,0.343,0.2895,Erreur absolue moy.,Purata Ralat Mutlak
ro,game:game.gapDetection.gapThreshold,0.223,0.357,0.29,Seuil de détection,Pragul Gap
th,game:game.timePromem.pmHitsLabel,0.24,0.344,0.292,Réussites prospectives,PM ฮิต
cs,settings:settings.gameMode.tierIncontournable,0.234,0.356,0.295,Incontournables,Musíte mít
cs,game:game.timePromem.pmHitsLabel,0.244,0.346,0.295,Réussites prospectives,PM hity
fi,stats:stats.advanced.durationPercentiles,0.323,0.267,0.29500000000000004,Percentiles durée,Kestopersentiilit
ur,game:game.soundSweeps.upAccuracy,0.288,0.303,0.2955,Précision montant,درستگی الأصوات الصاعدة
id,game:game.dichoticListening.attendedAccuracy,0.22,0.372,0.296,Précision (canal cible),Akurasi yang Dihadiri
uk,game:game.cogTask.tapTheOddOne,0.301,0.295,0.298,Touchez l'intrus,Виберіть непарний
ur,stats:stats.unifiedReport.fluencyScore,0.277,0.32,0.2985,Score de fluidité,سکور الطلاقة
no,settings:settings.gameMode.judgmentOfRecency,0.207,0.392,0.2995,Jugement de récence,Nylig dom
no,game:game.judgmentOfRecency.title,0.207,0.392,0.2995,Jugement de récence,Nylig dom
ta,game:game.timePromem.pmHitsLabel,0.235,0.364,0.2995,Réussites prospectives,PM அடிக்கிறது
el,settings:settings.accessibility.hapticFeedback,0.256,0.344,0.3,Retour haptique,Απτική ανατροφοδότηση
el,settings:settings.accessibility.hapticEnabled,0.256,0.344,0.3,Retour haptique,Απτική ανατροφοδότηση
te,settings:settings.gameMode.dotProbe,0.249,0.352,0.3005,Sonde attentionnelle,డాట్ ప్రోబ్
te,game:game.cogTask.dotProbe.heroTitle,0.249,0.352,0.3005,Sonde attentionnelle,డాట్ ప్రోబ్
ur,settings:settings.gameMode.categoryWorkingMemory,0.23,0.372,0.301,Mémoire de travail,الیادداشت العاملة الفئوية
ru,game:game.bart.overallAvgPumps,0.294,0.31,0.302,Pompes moy. globales,Среднее всех нажатий
ms,game:game.ambiguousFigures.meanSwitches,0.291,0.315,0.303,Basculements moyens,Suis Min
sw,game:game.dotProbe.congruentAcc,0.247,0.359,0.303,Préc. congruente,Acc Sambamba
id,game:game.anagram.avgSolve,0.313,0.295,0.304,Résolution moy.,Rata-rata memecahkan
bn,game:game.cogTask.dotProbe.heroTitle,0.247,0.362,0.3045,Sonde attentionnelle,ডট প্রোব
no,game:game.gapDetection.gapThreshold,0.221,0.388,0.3045,Seuil de détection,Gap terskel
bn,settings:settings.gameMode.dotProbe,0.247,0.362,0.3045,Sonde attentionnelle,ডট প্রোব
ru,game:game.bart.adjustedAvgPumps,0.305,0.305,0.305,Pompes moy. ajustées,Корр. среднее нажатий
no,settings:settings.gameMode.tierIncontournable,0.294,0.316,0.305,Incontournables,Må-has
ur,game:game.bart.overallAvgPumps,0.341,0.269,0.30500000000000005,Pompes moy. globales,اوسط النفخ الکل
ta,settings:settings.gameMode.tierIncontournable,0.226,0.385,0.3055,Incontournables,வேண்டும்
ur,game:game.bart.adjustedAvgPumps,0.289,0.324,0.3065,Pompes moy. ajustées,اوسط ضخات مُعدل
vi,home:home.onboarding.introTitle,0.244,0.369,0.3065,Bienvenue sur NeuroDual,Một tập bản đồ rèn luyện nhận thức đang hình thành
ms,game:game.cogTask.tapTheOddOne,0.345,0.268,0.3065,Touchez l'intrus,Ketik yang ganjil keluar
ms,game:game.timePromem.pmHitsLabel,0.223,0.391,0.307,Réussites prospectives,PM kena
sw,stats:stats.advanced.passThreshold,0.225,0.389,0.307,Seuil de réussite,Kupita kizingiti
nl,game:game.maze.wallHitsLabel,0.278,0.337,0.3075,Collisions avec les murs,Muurhits
ur,game:game.weatherPrediction.learningCurve,0.273,0.342,0.3075,Courbe d'apprentissage,منحنى السیکھنا
nl,game:game.maze.wallHits,0.278,0.337,0.3075,Collisions avec les murs,Muurhits
ar,home:home.onboarding.introTitle,0.257,0.359,0.308,Bienvenue sur NeuroDual,أطلس تدريب معرفي قيد الإنشاء
zh,home:home.onboarding.introTitle,0.255,0.362,0.3085,Bienvenue sur NeuroDual,正在构建的认知训练图谱
th,game:game.puzzle.guessesLeft,0.227,0.392,0.3095,Tentatives restantes,เดาออกไป
ms,game:game.bart.adjustedAvgPumps,0.267,0.352,0.3095,Pompes moy. ajustées,Purata pam dilaraskan
tl,game:game.mirrorTracing.title,0.315,0.307,0.311,Traçage en miroir,Pagsubaybay sa Salamin
sw,settings:settings.corsi.highlightSpeed,0.209,0.413,0.311,Vitesse d'illumination,Angazia kasi
tl,settings:settings.gameMode.mirrorTracing,0.315,0.307,0.311,Traçage en miroir,Pagsubaybay sa Salamin
ko,settings:settings.gameMode.numberSeries,0.226,0.397,0.3115,Suites numériques,수열 과제
hu,common:aria.traceGrid,0.326,0.297,0.3115,Grille de trace,Nyomrács
fi,game:game.auditoryFigureGround.title,0.295,0.329,0.312,Figure-fond auditif,Kuulohahmo-maa
uk,stats:stats.contextual.sublines.simpleVariableRt,0.269,0.355,0.312,TR irréguliers.,Мінливі часи відповіді.
ms,game:game.rhythm.avgTimingError,0.306,0.322,0.314,Erreur de timing moy.,Ralat pemasaan purata
vi,settings:settings.gameMode.tierIncontournable,0.257,0.371,0.314,Incontournables,Phải có
sw,home:home.journeyQuickSettingsUnavailable,0.246,0.383,0.3145,Pas de réglages rapides disponibles pour ce parcours.,"Njia isiyolipishwa - tayari unafahamu N-Back Mbili, Ufuatiliaji wa Vitu Vingi, au mazoezi mengine? Nenda moja kwa moja kwenye kichupo cha Mafunzo na uchunguze maktaba."
vi,game:game.dichoticListening.attendedAccuracy,0.266,0.363,0.3145,Précision (canal cible),Đã tham dự chính xác
fi,settings:settings.dyslatéralisation.mirrorAxisLabel,0.253,0.376,0.3145,Axe de symétrie,Peiliakseli
ur,game:game.chainRecall.title,0.289,0.34,0.3145,Rappel en chaîne,واپسی مترتیب
ms,game:game.durationReproduction.meanAbsoluteError,0.273,0.358,0.3155,Erreur absolue moyenne,Min Ralat Mutlak
ko,stats:stats.report.falseAlarms,0.116,0.515,0.3155,Fausses Alarmes,오경보
ms,game:game.predictionMotion.meanAbsoluteError,0.273,0.358,0.3155,Erreur absolue moyenne,Min Ralat Mutlak
my,game:game.beadsTask.title,0.208,0.424,0.316,Tâche des perles,အလုံးစမ်းသပ်မှု
pl,home:home.onboarding.introTitle,0.262,0.372,0.317,Bienvenue sur NeuroDual,Atlas treningu kognitywnego w budowie
th,game:game.ambiguousFigures.meanSwitches,0.309,0.325,0.317,Basculements moyens,สวิตช์หมายถึง
pl,game:game.temporalGeneralization.hitRate,0.218,0.418,0.318,Taux de réussite,Trafienia
pl,game:game.rvp.hitRate,0.218,0.418,0.318,Taux de réussite,Trafienia
pl,game:game.cogTask.hitRate,0.218,0.418,0.318,Taux de réussite,Trafienia
bn,game:game.maze.wallHits,0.303,0.334,0.3185,Collisions avec les murs,ওয়াল হিট
bn,game:game.maze.wallHitsLabel,0.303,0.334,0.3185,Collisions avec les murs,ওয়াল হিট
ms,settings:settings.premium.features.cloudSyncShort,0.293,0.344,0.3185,Synchro en ligne,Penyegerakan awan
tl,game:game.timePromem.pmHitsLabel,0.237,0.401,0.319,Réussites prospectives,PM hit
ur,settings:settings.modeSections.memoryMatch.base.subtitle,0.387,0.252,0.3195,Grille et plateaux,گرڈ والرقع
tr,home:home.onboarding.introTitle,0.198,0.442,0.32,Bienvenue sur NeuroDual,Yapım aşamasında bir bilişsel antrenman atlası
vi,game:game.cogTask.sentenceCompletion.highCloze,0.272,0.369,0.3205,Forte prédictibilité,clo cao
ur,stats:stats.advanced.durationPercentiles,0.281,0.36,0.3205,Percentiles durée,شرائح مئوية للدورانیہ
id,game:game.cogTask.tapTheOddOne,0.342,0.299,0.3205,Touchez l'intrus,Ketuk yang aneh
fi,stats:report.dualTrack.crowdingEvents,0.261,0.382,0.3215,Événements de proximité,Ahtaustapahtumat
sw,settings:settings.dyslatéralisation.title,0.243,0.4,0.3215,Dyslatéralisation,Uhamisho wa Pande
sw,settings:settings.nav.dyslatéralisation,0.243,0.4,0.3215,Dyslatéralisation,Uhamisho wa Pande
fi,game:game.timePromem.pmHitsLabel,0.199,0.445,0.322,Réussites prospectives,PM osuu
th,game:game.contourIntegration.thresholdJitter,0.334,0.311,0.3225,Jitter au seuil,เกณฑ์กระวนกระวายใจ
bn,game:game.gapDetection.gapThreshold,0.19,0.455,0.3225,Seuil de détection,গ্যাপ থ্রেশহোল্ড
id,home:home.onboarding.introTitle,0.286,0.36,0.32299999999999995,Bienvenue sur NeuroDual,Atlas pelatihan kognitif yang sedang dibuat
hu,game:game.gapDetection.gapThreshold,0.346,0.301,0.3235,Seuil de détection,Szünet küszöb
th,home:home.onboarding.introTitle,0.28,0.367,0.3235,Bienvenue sur NeuroDual,แผนที่การฝึกทางปัญญาที่กำลังสร้าง
ar,game:game.oddOneOut.colorDiffAvgRt,0.284,0.366,0.32499999999999996,TR moy. couleur,متوسط وقت الرد للون
tl,game:game.pursuitTracking.title,0.32,0.33,0.325,Poursuite visuelle,Pagsubaybay sa Pagtugis
bn,home:home.onboarding.introTitle,0.212,0.438,0.325,Bienvenue sur NeuroDual,তৈরিতে একটি জ্ঞানীয় প্রশিক্ষণ এটলাস
tl,settings:settings.gameMode.pursuitTracking,0.32,0.33,0.325,Poursuite visuelle,Pagsubaybay sa Pagtugis
vi,game:game.pursuitTracking.title,0.29,0.361,0.3255,Poursuite visuelle,Theo dõi truy đuổi
ms,settings:settings.dyslatéralisation.mirrorAxisLabel,0.307,0.347,0.32699999999999996,Axe de symétrie,Paksi cermin
hu,game:game.oddOneOut.shapeDiffAccuracy,0.286,0.368,0.32699999999999996,Préc. diff. de forme,Alak kül. pontosság
no,game:game.timePromem.pmHitsLabel,0.288,0.367,0.3275,Réussites prospectives,PM treffer
hu,game:game.aria.traceGrid,0.36,0.295,0.3275,Grille de tracé,Nyomrács
ur,settings:settings.gameMode.patternRecognition,0.272,0.383,0.3275,Reconnaissance de motifs,التعرّف على النمونے
ur,game:game.cogTask.patternRecognition.heroTitle,0.272,0.383,0.3275,Reconnaissance de motifs,التعرّف على النمونے
fa,game:game.cogTask.sentenceCompletion.highCloze,0.285,0.371,0.32799999999999996,Forte prédictibilité,Cloze بالا
fa,game:game.timePromem.pmHitsLabel,0.275,0.381,0.328,Réussites prospectives,درست‌های PM
sw,settings:settings.gameMode.contextualCueing,0.232,0.424,0.328,Indicage contextuel,Utunzaji wa Muktadha
sw,game:game.contextualCueing.title,0.232,0.424,0.328,Indicage contextuel,Utunzaji wa Muktadha
th,game:game.gapDetection.gapThreshold,0.265,0.391,0.328,Seuil de détection,เกณฑ์ช่องว่าง
ur,settings:settings.gameMode.orientationDiscrimination,0.335,0.322,0.3285,Discrimination d'orientation,تمیز سمت
ur,game:game.orientationDiscrimination.title,0.335,0.322,0.3285,Discrimination d'orientation,تمیز سمت
nl,settings:settings.dyslatéralisation.mirrorAxisLabel,0.302,0.355,0.3285,Axe de symétrie,Spiegel as
de,game:game.ambiguousFigures.meanSwitches,0.295,0.364,0.3295,Basculements moyens,Ø Wechsel
hu,settings:settings.dyslatéralisation.mirrorAxisLabel,0.294,0.365,0.3295,Axe de symétrie,Tükörtengely
el,game:game.timePromem.pmHitsLabel,0.3,0.361,0.3305,Réussites prospectives,PM χτυπήματα
hu,stats:stats.advanced.passThreshold,0.287,0.374,0.3305,Seuil de réussite,Átadási küszöb
ms,home:home.onboarding.introTitle,0.293,0.368,0.3305,Bienvenue sur NeuroDual,Atlas latihan kognitif yang sedang dibina
da,game:game.contourIntegration.thresholdJitter,0.294,0.368,0.33099999999999996,Jitter au seuil,Tærskeljitter
th,settings:settings.dyslatéralisation.mirrorAxisLabel,0.296,0.366,0.33099999999999996,Axe de symétrie,แกนกระจก
no,game:game.contourIntegration.thresholdJitter,0.287,0.375,0.33099999999999996,Jitter au seuil,Terskeljitter
bn,game:game.timePromem.pmHitsLabel,0.261,0.401,0.331,Réussites prospectives,পিএম হিট
ur,game:game.mnemonicDiscrimination.patternSeparation,0.322,0.34,0.331,Séparation de motifs,فصل النمونے
el,badges:badges.streak_90.name,0.325,0.338,0.3315,Trimestre Sans Faille,Άψογη συνοικία
ta,game:game.dichoticListening.attendedAccuracy,0.254,0.41,0.33199999999999996,Précision (canal cible),துல்லியம் கலந்துகொண்டார்
uk,game:game.timePromem.pmHitsLabel,0.26,0.405,0.3325,Réussites prospectives,PM хіти
ms,game:game.anagram.avgSolve,0.3,0.365,0.3325,Résolution moy.,Purata selesaikan
ar,game:game.judgmentOfLearning.calibrationBias,0.246,0.419,0.3325,Biais de calibration,انحياز المعايرة
cs,game:game.pursuitTracking.title,0.331,0.335,0.333,Poursuite visuelle,Sledování pronásledování
cs,settings:settings.gameMode.pursuitTracking,0.331,0.335,0.333,Poursuite visuelle,Sledování pronásledování
sw,settings:settings.personalization.accentTheme,0.333,0.334,0.3335,Par défaut (thème),Mandhari chaguomsingi
hu,game:game.cogTask.sceneCrasher.heroTitle,0.3,0.367,0.3335,Intrus dans la scène,Jelenetbetolakodó
hu,settings:settings.gameMode.sceneCrasher,0.3,0.367,0.3335,Intrus dans la scène,Jelenetbetolakodó
ja,game:game.beadsTask.meanDrawsToDecision,0.346,0.322,0.33399999999999996,Tirages moyens avant décision,平均引き数
ro,game:game.pursuitTracking.title,0.348,0.321,0.3345,Poursuite visuelle,Urmărire urmărire
ro,settings:settings.gameMode.pursuitTracking,0.348,0.321,0.3345,Poursuite visuelle,Urmărire urmărire
fi,settings:settings.audio.noiseLevel,0.286,0.384,0.33499999999999996,Niveau de bruit,Kohinataso
my,settings:settings.visual.gridScale,0.32,0.35,0.33499999999999996,Échelle de la grille,ဂရစ်စကေး
sv,stats:stats.unifiedReport.accordions.errors,0.263,0.408,0.3355,Analyse des erreurs,Felanalys
sv,stats:stats.unifiedReport.accordionErrorAnalysis,0.263,0.408,0.3355,Analyse des erreurs,Felanalys
ms,game:game.timePromem.totalPmPresses,0.322,0.349,0.3355,Total appuis prospectifs,Jumlah Tekan PM
vi,game:game.beadsTask.title,0.383,0.288,0.3355,Tâche des perles,Nhiệm vụ hạt
sw,stats:stats.contextual.sublines.simpleVariableRt,0.21,0.461,0.3355,TR irréguliers.,Nyakati za majibu zinazobadilika.
ur,game:game.attentionalBlink.firstGreenLetter,0.298,0.375,0.3365,1ʳᵉ lettre verte ?,الحرف السبز پہلا؟
tr,game:game.pursuitTracking.title,0.319,0.354,0.3365,Poursuite visuelle,Takip Takibi
vi,stats:stats.contextual.sublines.simpleVariableRt,0.319,0.355,0.33699999999999997,TR irréguliers.,Thời gian phản hồi biến động.
my,settings:settings.about.alphaDesc,0.256,0.418,0.33699999999999997,Fonctionnalités expérimentales,သမ္ဘာ လက္ခဏာ
ur,settings:settings.nav.dyslatéralisation,0.261,0.414,0.3375,Dyslatéralisation,تدرست الجانبية
ur,settings:settings.dyslatéralisation.title,0.261,0.414,0.3375,Dyslatéralisation,تدرست الجانبية
hu,game:game.cogTask.blockDesign.heroTitle,0.326,0.349,0.3375,Design de blocs,Kockaminta
fi,common:aria.traceGrid,0.256,0.419,0.3375,Grille de trace,Jälkiruudukko
ko,home:home.onboarding.introTitle,0.216,0.459,0.3375,Bienvenue sur NeuroDual,구축 중인 인지 훈련 아틀라스
zh,game:game.bart.adjustedAvgPumps,0.412,0.263,0.3375,Pompes moy. ajustées,校正平均打气次数
km,stats:stats.advanced.passThreshold,0.27,0.406,0.338,Seuil de réussite,ឆ្លងកាត់កម្រិត
th,settings:settings.gameMode.tierIncontournable,0.269,0.408,0.3385,Incontournables,ต้องมี
te,game:game.judgmentOfLearning.calibrationBias,0.316,0.362,0.33899999999999997,Biais de calibration,అమరిక పక్షపాతం
bn,settings:settings.gameMode.tierIncontournable,0.25,0.429,0.3395,Incontournables,থাকতে হবে
mr,settings:settings.gameMode.pursuitTracking,0.24,0.439,0.3395,Poursuite visuelle,पाठपुरावा ट्रॅकिंग
vi,game:game.attentionalCapture.singletonPresent,0.367,0.312,0.3395,Singleton présent,Món quà đơn
nl,game:game.puzzle.guessesLeft,0.283,0.396,0.3395,Tentatives restantes,Gissingen over
mr,game:game.pursuitTracking.title,0.24,0.439,0.3395,Poursuite visuelle,पाठपुरावा ट्रॅकिंग
km,game:game.contourIntegration.thresholdJitter,0.318,0.362,0.33999999999999997,Jitter au seuil,កម្រិតការប្រែប្រួល
ta,settings:settings.progression.jitterAdaptive,0.278,0.403,0.3405,Jitter adaptatif,அனுசரிப்பு நடுக்கம்
km,settings:settings.gameMode.temporalBisection,0.25,0.433,0.3415,Bisection temporelle,វគ្គបណ្ដុះបណ្ដាល
da,settings:settings.gameMode.trainOfThought,0.272,0.411,0.3415,Fil de la pensée,Tanketog
da,game:game.trainOfThought.title,0.272,0.411,0.3415,Fil de la pensée,Tanketog
te,game:game.gapDetection.gapThreshold,0.361,0.322,0.3415,Seuil de détection,గ్యాప్ థ్రెషోల్డ్
da,game:game.puzzle.guessesLeft,0.301,0.382,0.3415,Tentatives restantes,Gæt tilbage
km,game:game.timePromem.pmHitsLabel,0.256,0.427,0.3415,Réussites prospectives,ការត្រូវ PM
no,settings:settings.gameMode.trainOfThought,0.272,0.411,0.3415,Fil de la pensée,Tanketog
no,game:game.trainOfThought.title,0.272,0.411,0.3415,Fil de la pensée,Tanketog
ar,game:game.bart.adjustedAvgPumps,0.318,0.366,0.34199999999999997,Pompes moy. ajustées,متوسط ضخات مُعدل
sw,game:game.gapDetection.gapThreshold,0.34,0.344,0.34199999999999997,Seuil de détection,Kizingiti cha Pengo
nl,game:game.gapDetection.gapThreshold,0.272,0.412,0.34199999999999997,Seuil de détection,Tussenruimtedrempel
zh,game:game.cogTask.tapTheOddOne,0.415,0.27,0.3425,Touchez l'intrus,点击异类
ta,game:game.maze.wallHitsLabel,0.353,0.332,0.3425,Collisions avec les murs,வால் ஹிட்ஸ்
ta,game:game.maze.wallHits,0.353,0.332,0.3425,Collisions avec les murs,வால் ஹிட்ஸ்
ta,game:game.gapDetection.gapThreshold,0.288,0.398,0.34299999999999997,Seuil de détection,இடைவெளி வாசல்
da,stats:stats.advanced.passThreshold,0.215,0.471,0.34299999999999997,Seuil de réussite,Bestå tærskel
id,game:game.pursuitTracking.title,0.31,0.376,0.34299999999999997,Poursuite visuelle,Pelacakan Pengejaran
mr,game:game.cogTask.dotProbe.heroTitle,0.271,0.416,0.3435,Sonde attentionnelle,डॉट प्रोब
ms,game:game.delayDiscounting.title,0.379,0.308,0.3435,Escompte temporel,Penangguhan Diskaun
mr,settings:settings.gameMode.dotProbe,0.271,0.416,0.3435,Sonde attentionnelle,डॉट प्रोब
ms,game:game.pursuitTracking.title,0.289,0.398,0.3435,Poursuite visuelle,Penjejakan Mengejar
vi,game:game.timePromem.totalPmPresses,0.374,0.314,0.344,Total appuis prospectifs,Tổng số máy ép PM
ms,game:game.beadsTask.title,0.351,0.337,0.344,Tâche des perles,Tugasan Manik
ta,settings:settings.custom.lureProbability,0.342,0.346,0.344,Probabilité leurre,கவர்ச்சி நிகழ்தகவு
ur,settings:settings.gameMode.categoryMemory,0.268,0.422,0.345,Mémoire épisodique,الیادداشت العرضية
fi,settings:settings.visual.stimulusColor,0.221,0.47,0.3455,Couleur du stimulus,Ärsykeväri
tl,settings:settings.gameMode.tierIncontournable,0.274,0.418,0.346,Incontournables,Dapat subukan
ur,game:game.reversalLearning.avgTrialsToCriterion,0.418,0.274,0.346,Essais moy. au critère,اوسط ٹرائلز للمعیار
zh,stats:stats.advanced.passThreshold,0.216,0.476,0.346,Seuil de réussite,通过阈值
th,game:game.cogTask.dotProbe.heroTitle,0.17,0.523,0.34650000000000003,Sonde attentionnelle,ดอทโพรบ
ro,settings:settings.dyslatéralisation.mirrorAxisLabel,0.266,0.427,0.34650000000000003,Axe de symétrie,Axa oglinzii
ms,game:game.ambiguousFigures.totalSwitches,0.332,0.362,0.347,Basculements totaux,Jumlah suis
sw,legal:legal.terms.healthWarning.title,0.322,0.373,0.34750000000000003,AVERTISSEMENT IMPORTANT : SANTÉ,ONYO MUHIMU LA AFYA
ur,stats:report.dualTrack.calibrationLabel,0.378,0.317,0.34750000000000003,Calibration du niveau,معايرة لیول
ur,game:game.cogTask.sentenceCompletion.highCloze,0.232,0.463,0.34750000000000003,Forte prédictibilité,اونچا cloze
ro,stats:stats.contextual.insights.rtConsistencyVariableV3,0.382,0.313,0.34750000000000003,Constance à améliorer,Consecvența necesită muncă
mr,stats:stats.advanced.passThreshold,0.305,0.391,0.348,Seuil de réussite,उंबरठा पास
vi,badges:badges.streak_90.name,0.342,0.354,0.348,Trimestre Sans Faille,Quý hoàn hảo
hi,home:home.onboarding.introTitle,0.3,0.396,0.348,Bienvenue sur NeuroDual,निर्माणाधीन एक संज्ञानात्मक प्रशिक्षण एटलस
zh,settings:settings.gridlock.sessionVariant,0.374,0.324,0.349,Variante de session,训练变体
my,stats:stats.advanced.passThreshold,0.218,0.48,0.349,Seuil de réussite,ကျော်သွားတတ်သည်။
zh,settings:settings.ufov.sessionVariant,0.374,0.324,0.349,Variante de session,训练变体
zh,settings:settings.tower.sessionVariant,0.374,0.324,0.349,Variante de session,训练变体
th,game:game.pursuitTracking.title,0.292,0.406,0.349,Poursuite visuelle,การติดตามการแสวงหา
ur,settings:settings.brainworkshop.multiMode,0.276,0.422,0.349,Différenciation,تمیز
ms,game:game.puzzle.undosLeft,0.374,0.324,0.349,Annulations restantes,Buat asal yang tinggal
el,game:game.navon.globalAdv,0.15,0.548,0.34900000000000003,Avantage global,Πλεον. Ολ.
ms,game:game.temporalBisection.curveSteepness,0.411,0.288,0.3495,Pente de la courbe,Kecuraman Lengkung
mr,game:game.gapDetection.gapThreshold,0.323,0.377,0.35,Seuil de détection,अंतर थ्रेशोल्ड
te,stats:stats.advanced.passThreshold,0.343,0.357,0.35,Seuil de réussite,పాస్ థ్రెషోల్డ్
no,settings:settings.gameMode.pursuitTracking,0.335,0.366,0.35050000000000003,Poursuite visuelle,Forfølgelsessporing
da,game:game.pursuitTracking.title,0.335,0.366,0.35050000000000003,Poursuite visuelle,Forfølgelsessporing
nl,game:game.pursuitTracking.title,0.275,0.426,0.35050000000000003,Poursuite visuelle,Achtervolging volgen
da,settings:settings.gameMode.pursuitTracking,0.335,0.366,0.35050000000000003,Poursuite visuelle,Forfølgelsessporing
no,game:game.pursuitTracking.title,0.335,0.366,0.35050000000000003,Poursuite visuelle,Forfølgelsessporing
el,settings:settings.gameMode.fittsTapping,0.392,0.31,0.351,Tapping de Fitts,Ταιριάζει με το χτύπημα
el,game:game.fittsTapping.title,0.392,0.31,0.351,Tapping de Fitts,Ταιριάζει με το χτύπημα
zh,game:game.bart.overallAvgPumps,0.462,0.241,0.35150000000000003,Pompes moy. globales,总平均打气次数
zh,stats:stats.report.falseAlarms,0.37,0.334,0.352,Fausses Alarmes,虚报
mr,settings:settings.gameMode.trainOfThought,0.356,0.348,0.352,Fil de la pensée,ट्रेन ऑफ थॉट
mr,game:game.trainOfThought.title,0.356,0.348,0.352,Fil de la pensée,ट्रेन ऑफ थॉट
ro,stats:stats.advanced.passThreshold,0.295,0.41,0.3525,Seuil de réussite,Trecerea pragului
zh,settings:settings.gameMode.tierIncontournable,0.268,0.437,0.35250000000000004,Incontournables,必玩经典
ko,stats:report.goNogo.falseAlarms,0.168,0.537,0.35250000000000004,Fausses alarmes,오경보
uk,settings:settings.dyslatéralisation.mirrorAxisLabel,0.319,0.386,0.35250000000000004,Axe de symétrie,Вісь дзеркала
ta,settings:settings.dyslatéralisation.mirrorAxisLabel,0.352,0.354,0.353,Axe de symétrie,கண்ணாடி அச்சு
ro,journey:journey.renamed,0.357,0.351,0.354,Parcours renommé !,Traseu redenumit.
ms,game:game.puzzle.guessesLeft,0.349,0.36,0.3545,Tentatives restantes,tekaan kiri
it,home:home.onboarding.introTitle,0.302,0.407,0.3545,Bienvenue sur NeuroDual,Un atlante di allenamento cognitivo in costruzione
cs,stats:stats.contextual.sublines.simpleVariableRt,0.295,0.414,0.3545,TR irréguliers.,Variabilní doba odezvy.
ur,game:game.oddOneOut.colorDiffAvgRt,0.373,0.336,0.35450000000000004,TR moy. couleur,اوسط وقت الرد لرنگ
sw,game:game.ambiguousFigures.meanSwitches,0.319,0.39,0.35450000000000004,Basculements moyens,Maana Swichi
